"Action","Type","Status","RelativePath","Name","Extension","SourcePath","TargetPath","SourceSize","TargetSize","SizeDifference","SourceModified","TargetModified","Recommendation","Notes"
"C","Directory","OnlyInSource","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\Insurance\Dental\Dr Katie Coniglio+","Dr Katie Coniglio+","","C:\Users\cameront\TAPLEY Dropbox\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\Insurance\Dental\Dr Katie Coniglio+","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\Insurance\Dental\Dr Katie Coniglio+","0 B","0 B","0 B","6/11/2024 3:23:48 PM","","Create directory in target","Directory structure missing from Target"
"C","Directory","OnlyInSource","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\Insurance\Dental\Dr Katie Coniglio+\Periodontal Treatment","Periodontal Treatment","","C:\Users\cameront\TAPLEY Dropbox\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\Insurance\Dental\Dr Katie Coniglio+\Periodontal Treatment","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\Insurance\Dental\Dr Katie Coniglio+\Periodontal Treatment","0 B","0 B","0 B","7/7/2025 9:13:19 AM","","Create directory in target","Directory structure missing from Target"
"C","Directory","OnlyInSource","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\Mom\TAP Farm LLC\Taxes\2025 Tax Info+","2025 Tax Info+","","C:\Users\cameront\TAPLEY Dropbox\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\Mom\TAP Farm LLC\Taxes\2025 Tax Info+","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\Mom\TAP Farm LLC\Taxes\2025 Tax Info+","0 B","0 B","0 B","7/17/2025 2:44:32 PM","","Create directory in target","Directory structure missing from Target"
"C","Directory","OnlyInSource","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\Social Security\App Docs","App Docs","","C:\Users\cameront\TAPLEY Dropbox\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\Social Security\App Docs","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\Social Security\App Docs","0 B","0 B","0 B","7/18/2025 10:12:59 AM","","Create directory in target","Directory structure missing from Target"
"C","Directory","OnlyInSource","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Receipts and Warranties\Amazon\Return Labels\Returns 1-31-23","Returns 1-31-23","","C:\Users\cameront\TAPLEY Dropbox\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Receipts and Warranties\Amazon\Return Labels\Returns 1-31-23","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Receipts and Warranties\Amazon\Return Labels\Returns 1-31-23","0 B","0 B","0 B","2/7/2023 3:54:44 PM","","Create directory in target","Directory structure missing from Target"
"I","Directory","OnlyInTarget","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Landscape+\Landscape Front & Backyard Areas+\Peter landscaping Service+","Peter landscaping Service+","","C:\Users\cameront\TAPLEY Dropbox\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Landscape+\Landscape Front & Backyard Areas+\Peter landscaping Service+","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Landscape+\Landscape Front & Backyard Areas+\Peter landscaping Service+","0 B","0 B","0 B","","8/1/2024 12:34:23 PM","Review for removal or keep","Directory not in Source"
"I","Directory","OnlyInTarget","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Landscape+\Landscape Front & Backyard Areas+\Peter landscaping Service+\Crape Myrtle Trees","Crape Myrtle Trees","","C:\Users\cameront\TAPLEY Dropbox\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Landscape+\Landscape Front & Backyard Areas+\Peter landscaping Service+\Crape Myrtle Trees","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Landscape+\Landscape Front & Backyard Areas+\Peter landscaping Service+\Crape Myrtle Trees","0 B","0 B","0 B","","8/1/2024 12:34:22 PM","Review for removal or keep","Directory not in Source"
"I","Directory","OnlyInTarget","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Landscape+\Landscape Front & Backyard Areas+\Peter landscaping Service+\Photos+","Photos+","","C:\Users\cameront\TAPLEY Dropbox\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Landscape+\Landscape Front & Backyard Areas+\Peter landscaping Service+\Photos+","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Landscape+\Landscape Front & Backyard Areas+\Peter landscaping Service+\Photos+","0 B","0 B","0 B","","8/1/2024 12:34:23 PM","Review for removal or keep","Directory not in Source"
"I","Directory","OnlyInTarget","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Landscape+\Landscape Front & Backyard Areas+\Peter landscaping Service+\Plant Options & Work Order","Plant Options & Work Order","","C:\Users\cameront\TAPLEY Dropbox\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Landscape+\Landscape Front & Backyard Areas+\Peter landscaping Service+\Plant Options & Work Order","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Landscape+\Landscape Front & Backyard Areas+\Peter landscaping Service+\Plant Options & Work Order","0 B","0 B","0 B","","8/1/2024 12:34:23 PM","Review for removal or keep","Directory not in Source"
"I","Directory","OnlyInTarget","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Landscape+\Landscape Front & Backyard Areas+\Peter landscaping Service+\River Rock","River Rock","","C:\Users\cameront\TAPLEY Dropbox\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Landscape+\Landscape Front & Backyard Areas+\Peter landscaping Service+\River Rock","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Landscape+\Landscape Front & Backyard Areas+\Peter landscaping Service+\River Rock","0 B","0 B","0 B","","8/1/2024 12:34:24 PM","Review for removal or keep","Directory not in Source"
"I","Directory","OnlyInTarget","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\Insurance\Dental\Dr Katie Coniglio","Dr Katie Coniglio","","C:\Users\cameront\TAPLEY Dropbox\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\Insurance\Dental\Dr Katie Coniglio","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\Insurance\Dental\Dr Katie Coniglio","0 B","0 B","0 B","","8/1/2024 12:35:27 PM","Review for removal or keep","Directory not in Source"
"I","Directory","OnlyInTarget","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\Insurance\Dental\Dr Katie Coniglio\Periodontal Treatment","Periodontal Treatment","","C:\Users\cameront\TAPLEY Dropbox\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\Insurance\Dental\Dr Katie Coniglio\Periodontal Treatment","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\Insurance\Dental\Dr Katie Coniglio\Periodontal Treatment","0 B","0 B","0 B","","8/1/2024 12:35:27 PM","Review for removal or keep","Directory not in Source"
"I","Directory","OnlyInTarget","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Receipts and Warranties\Amazon\Return Labels\Retruns 1-31-23","Retruns 1-31-23","","C:\Users\cameront\TAPLEY Dropbox\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Receipts and Warranties\Amazon\Return Labels\Retruns 1-31-23","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Receipts and Warranties\Amazon\Return Labels\Retruns 1-31-23","0 B","0 B","0 B","","7/2/2025 5:31:57 PM","Review for removal or keep","Directory not in Source"
"C","File","OnlyInSource","Cameron Tapley\CDT Business\Bus Development+\Dialog Scripts+\Cold Call Scripts\Business Plan  Successful Cold calls-2+.ppt","Business Plan  Successful Cold calls-2+.ppt",".ppt","","D:\DB+\Cameron Tapley\CDT Business\Bus Development+\Dialog Scripts+\Cold Call Scripts\Business Plan  Successful Cold calls-2+.ppt","843.50 KB","0 B","843.50 KB","8/7/2013 8:51:08 PM","","Copy to target","File missing from Target"
"C","File","OnlyInSource","Cameron Tapley\CDT Business\Bus Development+\Dialog Scripts+\Cold Call Scripts\Dialogue for Cold Calls 4-6-10+.docx","Dialogue for Cold Calls 4-6-10+.docx",".docx","","D:\DB+\Cameron Tapley\CDT Business\Bus Development+\Dialog Scripts+\Cold Call Scripts\Dialogue for Cold Calls 4-6-10+.docx","16.92 KB","0 B","16.92 KB","8/7/2013 3:29:25 PM","","Copy to target","File missing from Target"
"C","File","OnlyInSource","Cameron Tapley\CDT Business\Research\CREXI\RSM Cupertino CA Info\CREXI Intro Email e 5-27-25.msg","CREXI Intro Email e 5-27-25.msg",".msg","","D:\DB+\Cameron Tapley\CDT Business\Research\CREXI\RSM Cupertino CA Info\CREXI Intro Email e 5-27-25.msg","152.00 KB","0 B","152.00 KB","7/3/2025 3:39:26 PM","","Copy to target","File missing from Target"
"C","File","OnlyInSource","Cameron Tapley\CDT Business\Research\CREXI\RSM Cupertino CA Info\CREXI Meeting w ICO Commercial Follow Up e 7-3-25.msg","CREXI Meeting w ICO Commercial Follow Up e 7-3-25.msg",".msg","","D:\DB+\Cameron Tapley\CDT Business\Research\CREXI\RSM Cupertino CA Info\CREXI Meeting w ICO Commercial Follow Up e 7-3-25.msg","115.00 KB","0 B","115.00 KB","7/3/2025 3:42:15 PM","","Copy to target","File missing from Target"
"C","File","OnlyInSource","Cameron Tapley\CDT Business\SRG\Interview Info\2021 Interviews\Jennifer Bird\Performance Assessment - Jennifer Bird - 2025q2 - 2025-07-08 CDT Redline.docx","Performance Assessment - Jennifer Bird - 2025q2 - 2025-07-08 CDT Redline.docx",".docx","","D:\DB+\Cameron Tapley\CDT Business\SRG\Interview Info\2021 Interviews\Jennifer Bird\Performance Assessment - Jennifer Bird - 2025q2 - 2025-07-08 CDT Redline.docx","109.01 KB","0 B","109.01 KB","7/7/2025 10:29:53 AM","","Copy to target","File missing from Target"
"C","File","OnlyInSource","Cameron Tapley\CDT Business\SRG\Interview Info\2021 Interviews\Jennifer Bird\Performance Assessment - Jennifer Bird - 2025q2 - 2025-07-08.docx","Performance Assessment - Jennifer Bird - 2025q2 - 2025-07-08.docx",".docx","","D:\DB+\Cameron Tapley\CDT Business\SRG\Interview Info\2021 Interviews\Jennifer Bird\Performance Assessment - Jennifer Bird - 2025q2 - 2025-07-08.docx","107.27 KB","0 B","107.27 KB","7/7/2025 10:08:51 AM","","Copy to target","File missing from Target"
"C","File","OnlyInSource","Cameron Tapley\CDT Business\SRG\Interview Info\2021 Interviews\Jennifer Bird\Performance Assessment - Jennifer Bird - 2025q2 e 7-7-25.msg","Performance Assessment - Jennifer Bird - 2025q2 e 7-7-25.msg",".msg","","D:\DB+\Cameron Tapley\CDT Business\SRG\Interview Info\2021 Interviews\Jennifer Bird\Performance Assessment - Jennifer Bird - 2025q2 e 7-7-25.msg","188.00 KB","0 B","188.00 KB","7/7/2025 10:34:28 AM","","Copy to target","File missing from Target"
"C","File","OnlyInSource","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Appliances\GE\GE Profile Dishwasher\GE Dishwasher PDWT480R10SS Parts Diagram.jpg","GE Dishwasher PDWT480R10SS Parts Diagram.jpg",".jpg","","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Appliances\GE\GE Profile Dishwasher\GE Dishwasher PDWT480R10SS Parts Diagram.jpg","600.96 KB","0 B","600.96 KB","7/16/2025 8:01:30 AM","","Copy to target","File missing from Target"
"C","File","OnlyInSource","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Bathroom Design Ideas\1804 Redwing Kitchen & Master Bath Est and Repair & Punch-List Update e 7-14-25.msg","1804 Redwing Kitchen & Master Bath Est and Repair & Punch-List Update e 7-14-25.msg",".msg","","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Bathroom Design Ideas\1804 Redwing Kitchen & Master Bath Est and Repair & Punch-List Update e 7-14-25.msg","369.00 KB","0 B","369.00 KB","7/14/2025 10:54:15 AM","","Copy to target","File missing from Target"
"C","File","OnlyInSource","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Bathroom Design Ideas\Daltile\Daltile Vintage Hex Relic Umber Hexagon 1.5 Matte (VH09HEX2MT) e 7-25-25.msg","Daltile Vintage Hex Relic Umber Hexagon 1.5 Matte (VH09HEX2MT) e 7-25-25.msg",".msg","","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Bathroom Design Ideas\Daltile\Daltile Vintage Hex Relic Umber Hexagon 1.5 Matte (VH09HEX2MT) e 7-25-25.msg","1.31 MB","0 B","1.31 MB","7/27/2025 9:38:03 AM","","Copy to target","File missing from Target"
"C","File","OnlyInSource","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Bathroom Design Ideas\Daltile\Daltile Vintage Legacy Sepia Hex Tile e 7-9-25 Quote #Q144880743.PDF","Daltile Vintage Legacy Sepia Hex Tile e 7-9-25 Quote #Q144880743.PDF",".PDF","","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Bathroom Design Ideas\Daltile\Daltile Vintage Legacy Sepia Hex Tile e 7-9-25 Quote #Q144880743.PDF","50.00 KB","0 B","50.00 KB","7/9/2025 12:25:24 PM","","Copy to target","File missing from Target"
"C","File","OnlyInSource","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Bathroom Design Ideas\Daltile\Stone & Tile Shoppe Vintage Legacy Sepia Hex Tile e 7-8-25 Invoice #D14290 $588.47.msg","Stone & Tile Shoppe Vintage Legacy Sepia Hex Tile e 7-8-25 Invoice #D14290 $588.47.msg",".msg","","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Bathroom Design Ideas\Daltile\Stone & Tile Shoppe Vintage Legacy Sepia Hex Tile e 7-8-25 Invoice #D14290 $588.47.msg","142.00 KB","0 B","142.00 KB","7/9/2025 12:16:05 PM","","Copy to target","File missing from Target"
"C","File","OnlyInSource","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Bathroom Design Ideas\Emmstone Designs Bathroom Remodel\Emmstone 1804 Redwing Master Bath & Kitchen Est CEST0015) e 5-22-25.msg","Emmstone 1804 Redwing Master Bath & Kitchen Est CEST0015) e 5-22-25.msg",".msg","","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Bathroom Design Ideas\Emmstone Designs Bathroom Remodel\Emmstone 1804 Redwing Master Bath & Kitchen Est CEST0015) e 5-22-25.msg","118.50 KB","0 B","118.50 KB","7/12/2025 9:12:11 AM","","Copy to target","File missing from Target"
"C","File","OnlyInSource","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Bathroom Design Ideas\Emmstone Designs Bathroom Remodel\Emmstone Master Bath & Kitchen Est & Repair List 7-13-25.pdf","Emmstone Master Bath & Kitchen Est & Repair List 7-13-25.pdf",".pdf","","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Bathroom Design Ideas\Emmstone Designs Bathroom Remodel\Emmstone Master Bath & Kitchen Est & Repair List 7-13-25.pdf","70.57 KB","0 B","70.57 KB","7/14/2025 7:49:55 AM","","Copy to target","File missing from Target"
"C","File","OnlyInSource","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Bathroom Design Ideas\Emmstone Designs Master Bathroom & Kitchen Proposal 5-22-25 ($8135) #2.pdf","Emmstone Designs Master Bathroom & Kitchen Proposal 5-22-25 ($8135) #2.pdf",".pdf","","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Bathroom Design Ideas\Emmstone Designs Master Bathroom & Kitchen Proposal 5-22-25 ($8135) #2.pdf","143.65 KB","0 B","143.65 KB","7/13/2025 6:05:10 PM","","Copy to target","File missing from Target"
"C","File","OnlyInSource","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Bathroom Design Ideas\Emmstone Master Bath & Kitchen Est & Repair List 7-13-25.pdf","Emmstone Master Bath & Kitchen Est & Repair List 7-13-25.pdf",".pdf","","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Bathroom Design Ideas\Emmstone Master Bath & Kitchen Est & Repair List 7-13-25.pdf","151.16 KB","0 B","151.16 KB","7/14/2025 8:35:25 AM","","Copy to target","File missing from Target"
"C","File","OnlyInSource","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Bathroom Design Ideas\Emmstone Master Bath & Kitchen Est & Repair List 7-13-25.xlsx","Emmstone Master Bath & Kitchen Est & Repair List 7-13-25.xlsx",".xlsx","","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Bathroom Design Ideas\Emmstone Master Bath & Kitchen Est & Repair List 7-13-25.xlsx","49.55 KB","0 B","49.55 KB","7/22/2025 9:08:25 AM","","Copy to target","File missing from Target"
"C","File","OnlyInSource","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Bathroom Design Ideas\Emmstone Master Bath & Kitchen Est Updated 7-13-25.pdf","Emmstone Master Bath & Kitchen Est Updated 7-13-25.pdf",".pdf","","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Bathroom Design Ideas\Emmstone Master Bath & Kitchen Est Updated 7-13-25.pdf","66.46 KB","0 B","66.46 KB","7/14/2025 8:56:36 AM","","Copy to target","File missing from Target"
"C","File","OnlyInSource","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Bathroom Design Ideas\Emmstone Master Bath & Kitchen Punch-list & Repair List 7-13-25.pdf","Emmstone Master Bath & Kitchen Punch-list & Repair List 7-13-25.pdf",".pdf","","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Bathroom Design Ideas\Emmstone Master Bath & Kitchen Punch-list & Repair List 7-13-25.pdf","151.15 KB","0 B","151.15 KB","7/14/2025 8:57:27 AM","","Copy to target","File missing from Target"
"C","File","OnlyInSource","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Bathroom Design Ideas\G&L Shower Glass\G&L Shower Glass Master Bath Invoice 7-15-25 ($1480).jpg","G&L Shower Glass Master Bath Invoice 7-15-25 ($1480).jpg",".jpg","","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Bathroom Design Ideas\G&L Shower Glass\G&L Shower Glass Master Bath Invoice 7-15-25 ($1480).jpg","59.75 KB","0 B","59.75 KB","7/16/2025 12:07:33 PM","","Copy to target","File missing from Target"
"C","File","OnlyInSource","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Bathroom Design Ideas\G&L Shower Glass\G&L Shower Glass Master Bath Invoice 7-15-25 ($1480).msg","G&L Shower Glass Master Bath Invoice 7-15-25 ($1480).msg",".msg","","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Bathroom Design Ideas\G&L Shower Glass\G&L Shower Glass Master Bath Invoice 7-15-25 ($1480).msg","295.00 KB","0 B","295.00 KB","7/16/2025 12:06:30 PM","","Copy to target","File missing from Target"
